회원번호,recency_days,구독자_상태,frequency,monetary,aov,regularity_cv,age_band_h4,gender_h4,region_tier,가격구간
248030272,61,관심필요(30~89일),7,537569,76795.57142857143,0.5751107493306112,50s,F,Tier3_배송취약권(가정),Q4_고가
923864832,60,관심필요(30~89일),6,332099,55349.833333333336,0.3934651379916838,30s,M,Tier1_새벽배송가능권(가정),Q4_고가
835142464,60,관심필요(30~89일),10,336267,33626.7,0.7245149800352824,<30,F,Tier1_새벽배송가능권(가정),Q3
1528813184,60,관심필요(30~89일),7,228391,32627.285714285717,0.8050858744917355,<30,F,Tier1_새벽배송가능권(가정),Q3
636793600,60,관심필요(30~89일),1,18378,18378.0,0.8033725722674212,30s,F,Tier1_새벽배송가능권(가정),Q1_저가
852063616,59,관심필요(30~89일),3,31492,10497.333333333334,0.1899689859904157,<30,F,Tier1_새벽배송가능권(가정),Q1_저가
1534115776,59,관심필요(30~89일),2,80214,40107.0,0.8033725722674212,30s,F,Tier1_새벽배송가능권(가정),Q3
1278785856,59,관심필요(30~89일),1,45372,45372.0,0.8033725722674212,30s,F,Tier2_익일배송표준권(가정),Q3
1620347392,58,관심필요(30~89일),1,3446,3446.0,0.8033725722674212,30s,F,Tier1_새벽배송가능권(가정),Q1_저가
1138063936,58,관심필요(30~89일),7,184947,26421.0,1.068822647847614,30s,F,Tier2_익일배송표준권(가정),Q2
1568294016,58,관심필요(30~89일),7,310516,44359.42857142857,1.133115447465063,30s,F,Tier2_익일배송표준권(가정),Q3
868028928,58,관심필요(30~89일),2,171243,85621.5,0.8033725722674212,60+,F,Tier2_익일배송표준권(가정),Q4_고가
1454990784,58,관심필요(30~89일),4,242555,60638.75,1.419347357691698,40s,M,Tier1_새벽배송가능권(가정),Q4_고가
478894400,58,관심필요(30~89일),1,26036,26036.0,0.8033725722674212,50s,F,Tier3_배송취약권(가정),Q2
1242424960,58,관심필요(30~89일),1,5743,5743.0,0.8033725722674212,<30,F,Tier1_새벽배송가능권(가정),Q1_저가
911542848,58,관심필요(30~89일),1,19144,19144.0,0.8033725722674212,50s,F,Tier2_익일배송표준권(가정),Q2
1071210816,58,관심필요(30~89일),9,261989,29109.88888888889,0.4198721817586908,40s,F,Tier3_배송취약권(가정),Q2
661157312,58,관심필요(30~89일),4,107398,26849.5,0.8,60+,F,Tier2_익일배송표준권(가정),Q2
58545664,58,관심필요(30~89일),4,41064,10266.0,0.9435884527917696,40s,F,Tier3_배송취약권(가정),Q1_저가
1478962880,57,관심필요(30~89일),2,56283,28141.5,0.8033725722674212,<30,F,Tier1_새벽배송가능권(가정),Q2
766461184,57,관심필요(30~89일),3,71216,23738.666666666668,0.0942809041582063,30s,F,Tier1_새벽배송가능권(가정),Q2
1437165760,57,관심필요(30~89일),4,110462,27615.5,0.1746031746031746,<30,F,Tier3_배송취약권(가정),Q2
1249423936,57,관심필요(30~89일),11,737617,67056.09090909091,0.9181441755010202,30s,F,Tier2_익일배송표준권(가정),Q4_고가
58805504,57,관심필요(30~89일),2,31971,15985.5,0.8033725722674212,30s,F,Tier3_배송취약권(가정),Q1_저가
738778944,57,관심필요(30~89일),1,19144,19144.0,0.8033725722674212,30s,F,Tier1_새벽배송가능권(가정),Q2
764618176,57,관심필요(30~89일),2,32927,16463.5,0.8033725722674212,30s,F,Tier3_배송취약권(가정),Q1_저가
1490121152,57,관심필요(30~89일),9,601742,66860.22222222222,0.8980392522026874,50s,F,Tier1_새벽배송가능권(가정),Q4_고가
1618823616,56,관심필요(30~89일),3,82320,27440.0,0.3535533905932738,40s,F,Tier3_배송취약권(가정),Q2
536851712,56,관심필요(30~89일),2,68345,34172.5,0.8033725722674212,30s,F,Tier3_배송취약권(가정),Q3
824899200,56,관심필요(30~89일),15,484418,32294.533333333333,0.892147671241052,50s,F,Tier1_새벽배송가능권(가정),Q3
1380875136,56,관심필요(30~89일),5,105006,21001.2,0.7834147171534884,30s,M,Tier3_배송취약권(가정),Q2
768803456,56,관심필요(30~89일),6,268592,44765.333333333336,0.7385791136866237,30s,F,Tier3_배송취약권(가정),Q3
641686016,56,관심필요(30~89일),8,214317,26789.625,1.0462081540950376,30s,F,Tier2_익일배송표준권(가정),Q2
86803264,55,관심필요(30~89일),1,32353,32353.0,0.8033725722674212,40s,M,Tier3_배송취약권(가정),Q3
1561150272,55,관심필요(30~89일),1,5552,5552.0,0.8033725722674212,40s,F,Tier3_배송취약권(가정),Q1_저가
1555882944,55,관심필요(30~89일),9,547523,60835.88888888889,0.8921087311340924,50s,F,Tier1_새벽배송가능권(가정),Q4_고가
1498599360,55,관심필요(30~89일),14,369315,26379.64285714286,0.8712298819645085,<30,F,Tier3_배송취약권(가정),Q2
400133184,55,관심필요(30~89일),2,39723,19861.5,0.8033725722674212,50s,F,Tier1_새벽배송가능권(가정),Q2
444504576,55,관심필요(30~89일),1,98976,98976.0,0.8033725722674212,30s,F,Tier1_새벽배송가능권(가정),Q4_고가
1617377792,55,관심필요(30~89일),1,163109,163109.0,0.8033725722674212,<30,F,Tier1_새벽배송가능권(가정),Q4_고가
1605625600,55,관심필요(30~89일),2,21058,10529.0,0.8033725722674212,60+,F,Tier2_익일배송표준권(가정),Q1_저가
1445274624,55,관심필요(30~89일),4,30152,7538.0,1.421401184772841,40s,F,Tier3_배송취약권(가정),Q1_저가
1605904000,54,관심필요(30~89일),1,4977,4977.0,0.8033725722674212,<30,F,Tier1_새벽배송가능권(가정),Q1_저가
68452992,54,관심필요(30~89일),7,364697,52099.57142857143,0.8567595116950294,60+,F,Tier1_새벽배송가능권(가정),Q4_고가
998628224,54,관심필요(30~89일),1,168469,168469.0,0.8033725722674212,30s,F,Tier1_새벽배송가능권(가정),Q4_고가
1474345152,54,관심필요(30~89일),1,88063,88063.0,0.8033725722674212,30s,F,Tier2_익일배송표준권(가정),Q4_고가
479313856,54,관심필요(30~89일),18,558817,31045.38888888889,0.8586527228760455,60+,F,Tier1_새벽배송가능권(가정),Q3
1224096960,54,관심필요(30~89일),1,8232,8232.0,0.8033725722674212,50s,F,Tier3_배송취약권(가정),Q1_저가
1211220032,53,관심필요(30~89일),5,80501,16100.2,1.064756119903496,<30,F,Tier2_익일배송표준권(가정),Q1_저가
341604224,53,관심필요(30~89일),6,412460,68743.33333333333,0.924387466109315,50s,F,Tier3_배송취약권(가정),Q4_고가
1084774464,53,관심필요(30~89일),2,65471,32735.5,0.8033725722674212,30s,F,Tier1_새벽배송가능권(가정),Q3
848529792,53,관심필요(30~89일),16,915660,57228.75,0.7768063550211487,30s,F,Tier3_배송취약권(가정),Q4_고가
379325568,53,관심필요(30~89일),1,20676,20676.0,0.8033725722674212,40s,F,Tier1_새벽배송가능권(가정),Q2
1286373184,53,관심필요(30~89일),6,233845,38974.16666666666,0.3845995707514839,30s,F,Tier2_익일배송표준권(가정),Q3
976786816,53,관심필요(30~89일),7,135637,19376.714285714286,1.162585805489747,60+,F,Tier3_배송취약권(가정),Q2
904239488,53,관심필요(30~89일),12,271185,22598.75,1.1018434357548716,30s,F,Tier1_새벽배송가능권(가정),Q2
1622639552,53,관심필요(30~89일),2,152196,76098.0,0.8033725722674212,<30,F,Tier3_배송취약권(가정),Q4_고가
762745472,53,관심필요(30~89일),20,1052305,52615.25,0.7128022790383514,40s,F,Tier1_새벽배송가능권(가정),Q4_고가
1506929088,51,관심필요(30~89일),1,43648,43648.0,0.8033725722674212,<30,F,Tier1_새벽배송가능권(가정),Q3
370504000,51,관심필요(30~89일),4,70642,17660.5,1.0245934354632795,40s,F,Tier3_배송취약권(가정),Q1_저가
1005729280,51,관심필요(30~89일),6,80885,13480.833333333334,0.8790331226168727,40s,M,Tier3_배송취약권(가정),Q1_저가
393869184,51,관심필요(30~89일),1,24600,24600.0,0.8033725722674212,40s,F,Tier1_새벽배송가능권(가정),Q2
450976448,50,관심필요(30~89일),18,542832,30157.33333333333,0.7663115491163863,60+,F,Tier1_새벽배송가능권(가정),Q3
764430720,50,관심필요(30~89일),4,85884,21471.0,0.9491029443068684,<30,F,Tier1_새벽배송가능권(가정),Q2
431096832,50,관심필요(30~89일),2,41543,20771.5,0.8033725722674212,30s,F,Tier2_익일배송표준권(가정),Q2
1304734592,50,관심필요(30~89일),8,82089,10261.125,0.9199295972326113,<30,F,Tier3_배송취약권(가정),Q1_저가
975337280,50,관심필요(30~89일),21,206181,9818.142857142857,1.2228633712153183,30s,F,Tier3_배송취약권(가정),Q1_저가
1569205312,50,관심필요(30~89일),6,233977,38996.16666666666,1.4087539834779697,30s,F,Tier3_배송취약권(가정),Q3
833407104,50,관심필요(30~89일),5,356175,71235.0,0.6791309421349442,30s,F,Tier2_익일배송표준권(가정),Q4_고가
764480832,49,관심필요(30~89일),4,162248,40562.0,0.9081807329861789,50s,F,Tier3_배송취약권(가정),Q3
701365696,49,관심필요(30~89일),1,11200,11200.0,0.8033725722674212,50s,F,Tier3_배송취약권(가정),Q1_저가
535999808,49,관심필요(30~89일),12,791131,65927.58333333333,0.7168890990077434,30s,F,Tier1_새벽배송가능권(가정),Q4_고가
174048256,49,관심필요(30~89일),8,526465,65808.125,1.0589642057089357,30s,F,Tier2_익일배송표준권(가정),Q4_고가
844283264,49,관심필요(30~89일),29,1604547,55329.206896551725,0.6717062586695096,30s,F,Tier1_새벽배송가능권(가정),Q4_고가
1573908416,49,관심필요(30~89일),7,235856,33693.71428571428,1.1737193542211213,40s,F,Tier3_배송취약권(가정),Q3
846924352,48,관심필요(30~89일),18,845402,46966.77777777778,1.424946573022788,40s,F,Tier1_새벽배송가능권(가정),Q4_고가
826261504,48,관심필요(30~89일),6,98401,16400.166666666668,0.6019175088830695,30s,F,Tier3_배송취약권(가정),Q1_저가
1101487744,48,관심필요(30~89일),3,175935,58645.0,1.2839570500492574,50s,F,Tier1_새벽배송가능권(가정),Q4_고가
1308181184,48,관심필요(30~89일),1,8423,8423.0,0.8033725722674212,<30,F,Tier3_배송취약권(가정),Q1_저가
897929088,48,관심필요(30~89일),4,23548,5887.0,0.8484248284641481,50s,F,Tier2_익일배송표준권(가정),Q1_저가
1304645504,48,관심필요(30~89일),9,297311,33034.555555555555,0.702535594132374,40s,F,Tier3_배송취약권(가정),Q3
763827520,48,관심필요(30~89일),1,19910,19910.0,0.8033725722674212,40s,F,Tier2_익일배송표준권(가정),Q2
1616149120,48,관심필요(30~89일),1,13018,13018.0,0.8033725722674212,50s,F,Tier3_배송취약권(가정),Q1_저가
200564928,47,관심필요(30~89일),6,209305,34884.166666666664,0.8190709213749561,50s,F,Tier1_새벽배송가능권(가정),Q3
655973504,47,관심필요(30~89일),5,107398,21479.6,0.9907093933343,50s,F,Tier1_새벽배송가능권(가정),Q2
603415296,47,관심필요(30~89일),3,62026,20675.33333333333,0.3493939389392352,30s,F,Tier3_배송취약권(가정),Q2
1126089024,47,관심필요(30~89일),2,15219,7609.5,0.8033725722674212,<30,F,Tier1_새벽배송가능권(가정),Q1_저가
744313536,47,관심필요(30~89일),3,89786,29928.666666666668,0.8999540851465151,40s,F,Tier3_배송취약권(가정),Q2
1164085056,47,관심필요(30~89일),18,733507,40750.38888888889,0.7848148020283191,40s,F,Tier2_익일배송표준권(가정),Q3
1486604032,47,관심필요(30~89일),2,106442,53221.0,0.8033725722674212,<30,F,Tier1_새벽배송가능권(가정),Q4_고가
1066088256,47,관심필요(30~89일),3,145878,48626.0,0.4962152850431913,30s,F,Tier3_배송취약권(가정),Q4_고가
801090432,47,관심필요(30~89일),1,30248,30248.0,0.8033725722674212,30s,F,Tier1_새벽배송가능권(가정),Q3
745959808,47,관심필요(30~89일),5,217382,43476.4,0.4032995830417372,40s,F,Tier1_새벽배송가능권(가정),Q3
116950272,47,관심필요(30~89일),9,287163,31907.0,0.7420619763041257,60+,F,Tier2_익일배송표준권(가정),Q3
946541440,46,관심필요(30~89일),3,219774,73258.0,1.2191496227354268,40s,F,Tier3_배송취약권(가정),Q4_고가
1286530944,46,관심필요(30~89일),1,45180,45180.0,0.8033725722674212,30s,F,Tier2_익일배송표준권(가정),Q3
761505664,46,관심필요(30~89일),16,409190,25574.375,0.6126502159150832,60+,F,Tier2_익일배송표준권(가정),Q2
1615581184,46,관심필요(30~89일),1,3829,3829.0,0.8033725722674212,30s,F,Tier2_익일배송표준권(가정),Q1_저가
1227944448,45,관심필요(30~89일),19,442734,23301.78947368421,0.9150679776901878,40s,F,Tier3_배송취약권(가정),Q2
1334929856,45,관심필요(30~89일),13,112913,8685.615384615385,1.2888660735830155,30s,F,Tier2_익일배송표준권(가정),Q1_저가
54067136,44,관심필요(30~89일),3,241981,80660.33333333333,0.0604364770244912,40s,F,Tier3_배송취약권(가정),Q4_고가
1305530816,44,관심필요(30~89일),9,173369,19263.222222222223,1.3136209658863058,40s,F,Tier3_배송취약권(가정),Q2
1317451904,44,관심필요(30~89일),6,158226,26371.0,0.804713234372897,30s,F,Tier1_새벽배송가능권(가정),Q2
55988096,44,관심필요(30~89일),1,11486,11486.0,0.8033725722674212,60+,M,Tier3_배송취약권(가정),Q1_저가
1190132160,44,관심필요(30~89일),8,286683,35835.375,0.7550006898451593,50s,F,Tier3_배송취약권(가정),Q3
618144512,44,관심필요(30~89일),22,217859,9902.681818181818,1.0090827133776858,50s,F,Tier2_익일배송표준권(가정),Q1_저가
1628021952,44,관심필요(30~89일),1,188857,188857.0,0.8033725722674212,60+,M,Tier2_익일배송표준권(가정),Q4_고가
1610015040,44,관심필요(30~89일),6,277016,46169.333333333336,0.5121879578452742,40s,F,Tier3_배송취약권(가정),Q3
1613582272,44,관심필요(30~89일),6,163971,27328.5,0.5291591932451342,30s,F,Tier1_새벽배송가능권(가정),Q2
970530240,43,관심필요(30~89일),1,9381,9381.0,0.8033725722674212,30s,F,Tier2_익일배송표준권(가정),Q1_저가
84702272,43,관심필요(30~89일),6,106633,17772.166666666668,0.9502982839798726,40s,F,Tier1_새벽배송가능권(가정),Q1_저가
662022208,43,관심필요(30~89일),1,31396,31396.0,0.8033725722674212,30s,F,Tier3_배송취약권(가정),Q3
1263160192,43,관심필요(30~89일),4,84235,21058.75,0.7909364959418573,50s,F,Tier1_새벽배송가능권(가정),Q2
1501776832,43,관심필요(30~89일),3,15316,5105.333333333333,0.3802927226549499,50s,F,Tier1_새벽배송가능권(가정),Q1_저가
1402814912,43,관심필요(30~89일),4,95338,23834.5,1.5790924501433214,<30,F,Tier3_배송취약권(가정),Q2
408713472,43,관심필요(30~89일),2,35512,17756.0,0.8033725722674212,40s,F,Tier3_배송취약권(가정),Q1_저가
751442432,42,관심필요(30~89일),36,1518781,42188.36111111111,0.812487725949871,30s,F,Tier3_배송취약권(가정),Q3
1140215040,42,관심필요(30~89일),1,24122,24122.0,0.8033725722674212,30s,F,Tier1_새벽배송가능권(가정),Q2
1273305088,42,관심필요(30~89일),6,78681,13113.5,1.0760534778895083,<30,F,Tier2_익일배송표준권(가정),Q1_저가
1075568704,42,관심필요(30~89일),3,417249,139083.0,0.1087856586440842,30s,F,Tier3_배송취약권(가정),Q4_고가
371454272,42,관심필요(30~89일),12,686370,57197.5,0.786984678621655,30s,F,Tier2_익일배송표준권(가정),Q4_고가
1567551616,41,관심필요(30~89일),4,71561,17890.25,0.7178062017478821,30s,F,Tier1_새벽배송가능권(가정),Q1_저가
187895872,41,관심필요(30~89일),6,144156,24026.0,1.3037518596760238,30s,F,Tier1_새벽배송가능권(가정),Q2
933089152,41,관심필요(30~89일),21,741549,35311.857142857145,1.199253882908075,30s,F,Tier1_새벽배송가능권(가정),Q3
1277568320,41,관심필요(30~89일),2,72748,36374.0,0.8033725722674212,60+,M,Tier3_배송취약권(가정),Q3
918088960,41,관심필요(30~89일),8,179762,22470.25,0.8828883616122588,50s,F,Tier2_익일배송표준권(가정),Q2
1628931392,41,관심필요(30~89일),1,23930,23930.0,0.8033725722674212,30s,F,Tier2_익일배송표준권(가정),Q2
1171817152,41,관심필요(30~89일),3,48817,16272.333333333334,0.4304128233309419,40s,F,Tier3_배송취약권(가정),Q1_저가
979374080,41,관심필요(30~89일),7,158130,22590.0,0.6614378277661477,<30,F,Tier3_배송취약권(가정),Q2
472377984,41,관심필요(30~89일),1,18761,18761.0,0.8033725722674212,30s,F,Tier1_새벽배송가능권(가정),Q2
1027990144,41,관심필요(30~89일),6,264188,44031.333333333336,0.9126142812663628,30s,F,Tier1_새벽배송가능권(가정),Q3
591568448,41,관심필요(30~89일),10,270218,27021.8,0.8523387832218378,40s,F,Tier1_새벽배송가능권(가정),Q2
819398016,41,관심필요(30~89일),6,162860,27143.33333333333,1.1760861625251762,30s,F,Tier1_새벽배송가능권(가정),Q2
767437440,40,관심필요(30~89일),2,77343,38671.5,0.8033725722674212,30s,F,Tier3_배송취약권(가정),Q3
817139264,40,관심필요(30~89일),7,89403,12771.857142857143,0.6738557951469002,30s,F,Tier2_익일배송표준권(가정),Q1_저가
842445824,40,관심필요(30~89일),8,189725,23715.625,0.8797031039051801,30s,F,Tier1_새벽배송가능권(가정),Q2
782235328,40,관심필요(30~89일),7,301713,43101.857142857145,1.6678715644663875,30s,F,Tier3_배송취약권(가정),Q3
445122624,40,관심필요(30~89일),16,613095,38318.4375,1.410657774636661,50s,F,Tier1_새벽배송가능권(가정),Q3
451308672,40,관심필요(30~89일),1,10146,10146.0,0.8033725722674212,30s,F,Tier1_새벽배송가능권(가정),Q1_저가
1493404416,40,관심필요(30~89일),3,31395,10465.0,0.5303300858899106,60+,F,Tier1_새벽배송가능권(가정),Q1_저가
1485113664,40,관심필요(30~89일),2,55900,27950.0,0.8033725722674212,40s,F,Tier2_익일배송표준권(가정),Q2
827937472,40,관심필요(30~89일),2,133588,66794.0,0.8033725722674212,<30,F,Tier1_새벽배송가능권(가정),Q4_고가
595408512,40,관심필요(30~89일),9,445007,49445.22222222222,0.9242699503681868,50s,F,Tier1_새벽배송가능권(가정),Q4_고가
661933120,40,관심필요(30~89일),9,380394,42266.0,0.8690987919227171,30s,F,Tier3_배송취약권(가정),Q3
996349056,39,관심필요(30~89일),16,417438,26089.875,0.6899476546683465,40s,F,Tier2_익일배송표준권(가정),Q2
726254656,39,관심필요(30~89일),14,346123,24723.071428571428,0.9177125466038012,30s,F,Tier1_새벽배송가능권(가정),Q2
744909312,39,관심필요(30~89일),7,204557,29222.42857142857,0.732564942685615,40s,F,Tier3_배송취약권(가정),Q2
1026202816,39,관심필요(30~89일),16,1017810,63613.125,0.7770110950303679,<30,F,Tier1_새벽배송가능권(가정),Q4_고가
1015959552,39,관심필요(30~89일),4,36852,9213.0,0.4129500104704955,60+,F,Tier3_배송취약권(가정),Q1_저가
650364672,38,관심필요(30~89일),1,12156,12156.0,0.8033725722674212,50s,F,Tier3_배송취약권(가정),Q1_저가
469714624,38,관심필요(30~89일),8,199291,24911.375,0.9494412191975636,30s,F,Tier2_익일배송표준권(가정),Q2
893452416,38,관심필요(30~89일),4,147792,36948.0,1.0712534714062774,30s,F,Tier1_새벽배송가능권(가정),Q3
761836032,38,관심필요(30~89일),5,128839,25767.8,0.8699558384590231,30s,F,Tier2_익일배송표준권(가정),Q2
767463424,38,관심필요(30~89일),7,791800,113114.28571428572,0.9710149725714324,30s,M,Tier3_배송취약권(가정),Q4_고가
55455424,37,관심필요(30~89일),9,260263,28918.11111111111,1.026060148728828,50s,M,Tier1_새벽배송가능권(가정),Q2
662855552,37,관심필요(30~89일),13,477721,36747.769230769234,1.0073230706126706,40s,M,Tier1_새벽배송가능권(가정),Q3
1043565696,37,관심필요(30~89일),3,57624,19208.0,0.3095488913348834,40s,F,Tier1_새벽배송가능권(가정),Q2
1284619264,37,관심필요(30~89일),7,240644,34377.71428571428,0.8816800405348592,30s,F,Tier1_새벽배송가능권(가정),Q3
676617792,37,관심필요(30~89일),2,17613,8806.5,0.8033725722674212,30s,F,Tier2_익일배송표준권(가정),Q1_저가
472366848,37,관심필요(30~89일),6,632768,105461.33333333331,0.6346751137393052,40s,F,Tier3_배송취약권(가정),Q4_고가
1038448704,37,관심필요(30~89일),8,214413,26801.625,1.1246163366952768,30s,F,Tier3_배송취약권(가정),Q2
553466624,37,관심필요(30~89일),19,650282,34225.36842105263,1.1526714078831977,50s,F,Tier3_배송취약권(가정),Q3
575976192,37,관심필요(30~89일),2,111899,55949.5,0.8033725722674212,30s,F,Tier1_새벽배송가능권(가정),Q4_고가
866364096,37,관심필요(30~89일),28,833137,29754.89285714286,0.9696241231378996,30s,F,Tier2_익일배송표준권(가정),Q2
897335168,37,관심필요(30~89일),7,277496,39642.28571428572,0.628038150464897,40s,F,Tier2_익일배송표준권(가정),Q3
696883456,37,관심필요(30~89일),4,52359,13089.75,1.2039560485482723,30s,F,Tier1_새벽배송가능권(가정),Q1_저가
244375808,37,관심필요(30~89일),2,39150,19575.0,0.8033725722674212,30s,F,Tier1_새벽배송가능권(가정),Q2
1603270336,36,관심필요(30~89일),2,78414,39207.0,0.8033725722674212,40s,F,Tier3_배송취약권(가정),Q3
1310755456,36,관심필요(30~89일),4,59444,14861.0,0.3205835356500154,<30,F,Tier2_익일배송표준권(가정),Q1_저가
