전략,접촉 인원,접촉 비용(원),기대 증분전환(명),1인당 증분전환율,기대 증분매출 A1×A2(원),기대 증분매출 run06직접(원),ROI(A1×A2 기준),손익분기 접촉단가(원),비고
① 전체 비구독자 무차별 발송,8276,24828000,56.0–128.0,0.68–1.55%p,"4,194,685–9,586,362","-5,139,444",0.2–0.4배,"506–1,158",현행 방식(baseline)
② 무작위 418명(대조군),418,1254000,2.8–6.5,0.67–1.55%p,"210,129–484,289","-259,580",0.2–0.4배,"502–1,158",2000회 복원 없는 무작위추출 평균
③ Tier1 최우선 418명,418,1254000,20.0–31.7,4.78–7.58%p,"1,494,941–2,373,750","3,027,008",1.2–1.9배,"3,576–5,678",이중검증 ∩ 매출리스크 없음
"④ Tier1+Tier3 2,376명",2376,7128000,68.5–89.9,2.88–3.78%p,"5,129,385–6,733,974","8,683,979",0.7–0.9배,"2,158–2,834",보조신호까지 확장
⑤ Tier2 95명(제외 대상),95,285000,4.7–6.9,4.98–7.23%p,"353,944–514,592","-1,035,869",1.2–1.8배,"3,725–5,416",구독 유도 시 매출 훼손 구간
