회원번호,region_tier,treatment_h4,p_control_logit,p_treated_logit,uplift_logit,p_control_rf,p_treated_rf,uplift_rf
18764160,Tier1_새벽배송가능권(가정),0.0,0.6364857498033822,0.5913918983658984,-0.04509385143748379,0.6035845859313694,0.5697624238953318,-0.033822162036037606
18792000,Tier3_배송취약권(가정),0.0,0.03595489743203169,0.05898404131877299,0.0230291438867413,0.05843350590211789,0.09617902359458208,0.03774551769246419
18942336,Tier1_새벽배송가능권(가정),0.0,0.5333226157543735,0.5183070061314001,-0.015015609622973325,0.5483781191481305,0.6111019283570085,0.06272380920887799
18949760,Tier3_배송취약권(가정),,0.08822752274504515,0.07484601845252732,-0.013381504292517832,0.12584627822778077,0.17258225634001134,0.04673597811223057
19391488,Tier2_익일배송표준권(가정),0.0,0.043250327831502844,0.046753338470856824,0.0035030106393539803,0.06257082464943013,0.09546757612188948,0.03289675147245935
19627200,Tier3_배송취약권(가정),0.0,0.9375462674589581,0.942487866582777,0.004941599123818863,0.9138165795586737,0.9445096593731088,0.030693079814435142
19727424,Tier2_익일배송표준권(가정),0.0,0.645369696602438,0.7053107050125508,0.05994100841011274,0.6423257910621578,0.6620310885764014,0.019705297514243547
19996544,Tier1_새벽배송가능권(가정),0.0,0.7624080761979061,0.75388297930575,-0.008525096892156081,0.6918059623253796,0.7248384833065503,0.03303252098117071
20235968,Tier1_새벽배송가능권(가정),,0.5176232092644047,0.48721660226249613,-0.030406607001908614,0.547391570115571,0.43023406028685535,-0.1171575098287157
20258240,Tier3_배송취약권(가정),0.0,0.046179432346883945,0.03862458314448241,-0.007554849202401535,0.07492138547197642,0.09193405620734581,0.017012670735369384
20588608,Tier1_새벽배송가능권(가정),0.0,0.962758160450856,0.9662601436549509,0.003501983204094894,0.9271475443902972,0.9051904382990358,-0.021957106091261447
20636864,Tier1_새벽배송가능권(가정),0.0,0.8668719583484245,0.8843065043497143,0.017434546001289797,0.8797909817676102,0.9170975250207885,0.03730654325317828
21134272,Tier2_익일배송표준권(가정),0.0,0.2366202788634346,0.2591224733380216,0.022502194474586984,0.22605052221796604,0.23294565346703094,0.006895131249064906
21457216,Tier3_배송취약권(가정),0.0,0.07454720452191563,0.06875499503758911,-0.005792209484326516,0.10704295316215251,0.1456153694346294,0.0385724162724769
21982464,Tier3_배송취약권(가정),,0.8318516157367924,0.8203687546510738,-0.01148286108571861,0.7047394751880262,0.6623517038245105,-0.04238777136351568
22112384,Tier1_새벽배송가능권(가정),0.0,0.05191049190138205,0.04081508993217971,-0.011095401969202341,0.08717062545057744,0.07693641582209473,-0.010234209628482704
22259008,Tier3_배송취약권(가정),,0.29875902683384653,0.2835666655855096,-0.01519236124833695,0.3411740857135387,0.3175084123234449,-0.02366567339009379
22270144,Tier3_배송취약권(가정),0.0,0.9826499287078089,0.9869033722829813,0.004253443575172433,0.9419748047307394,0.9296162373850401,-0.01235856734569929
22990272,Tier1_새벽배송가능권(가정),0.0,0.5848995948881991,0.5996409649763424,0.014741370088143357,0.6070513602533905,0.6137388936170205,0.006687533363630038
23437568,Tier1_새벽배송가능권(가정),,0.7132204944406948,0.7541397694195487,0.04091927497885395,0.7562087870639286,0.7597276323429638,0.003518845279035232
23485824,Tier3_배송취약권(가정),0.0,0.19383052869157208,0.1423423977604587,-0.051488130931113374,0.1823943355764966,0.1979177395337767,0.015523403957280107
23573056,Tier1_새벽배송가능권(가정),,0.05398633724940149,0.054572765611172115,0.0005864283617706273,0.08500271204159385,0.13015647117524407,0.04515375913365022
24098304,Tier1_새벽배송가능권(가정),1.0,0.06959168198172178,0.06668341160418705,-0.00290827037753473,0.09463867002005853,0.15575825091247203,0.0611195808924135
24883392,Tier3_배송취약권(가정),0.0,0.9570465443403929,0.963166746059987,0.006120201719594043,0.9138091291191673,0.9400534190069901,0.02624428988782279
25145088,Tier3_배송취약권(가정),0.0,0.15605547914946943,0.12162110359143948,-0.03443437555802996,0.23480209182088926,0.2368143766507716,0.0020122848298823326
26110208,Tier1_새벽배송가능권(가정),0.0,0.08174383627346647,0.0716993302552714,-0.010044506018195065,0.13939438329705514,0.20477293368638116,0.06537855038932602
26355200,Tier3_배송취약권(가정),,0.9362117949815397,0.9445012784722109,0.008289483490671157,0.9146556835101342,0.9314311292048566,0.016775445694722446
26676288,Tier1_새벽배송가능권(가정),0.0,0.1987914764137064,0.20275203294573935,0.0039605565320329494,0.23606823432894966,0.23072387124940838,-0.005344363079541281
27021504,Tier1_새벽배송가능권(가정),0.0,0.04089712665760907,0.0358217412775442,-0.00507538538006487,0.09534366809940631,0.11346886002460826,0.018125191925201956
27066048,Tier3_배송취약권(가정),0.0,0.6758001313394487,0.6830878106739227,0.00728767933447394,0.7239805678425707,0.7502494217669483,0.02626885392437761
27210816,Tier1_새벽배송가능권(가정),0.0,0.07422244697707234,0.06980543025911867,-0.004417016717953665,0.10975325490418612,0.15622515508695486,0.04647190018276874
27387136,Tier2_익일배송표준권(가정),0.0,0.5867454730783296,0.6268639160558707,0.04011844297754108,0.5767483898293186,0.5261266374025714,-0.05062175242674727
28394944,Tier2_익일배송표준권(가정),1.0,0.8951478277972119,0.9307671712832141,0.03561934348600215,0.8663189643162377,0.9265574400699377,0.060238475753700005
28871936,Tier1_새벽배송가능권(가정),0.0,0.33995812119490854,0.35506319136451586,0.015105070169607326,0.3047791271574776,0.3014623289406169,-0.0033167982168607058
29658880,Tier2_익일배송표준권(가정),0.0,0.051407352174881155,0.042274764156845196,-0.009132588018035959,0.06627051480687092,0.07777962765080022,0.011509112843929303
29868608,Tier3_배송취약권(가정),0.0,0.2050163853662273,0.17700732677253408,-0.02800905859369321,0.22048514342447223,0.21334323020911744,-0.007141913215354789
30215680,Tier3_배송취약권(가정),,0.685140559120752,0.6946232002329312,0.009482641112179224,0.522795205431007,0.5032279658461243,-0.019567239584882712
31691200,Tier2_익일배송표준권(가정),0.0,0.8751474436260308,0.9083256515033948,0.03317820787736403,0.8578556884185727,0.8783337403167599,0.02047805189818719
37188672,Tier3_배송취약권(가정),0.0,0.7655629573942659,0.7617047313534635,-0.003858226040802437,0.8343054747248789,0.9119345963550854,0.07762912163020652
37253632,Tier2_익일배송표준권(가정),0.0,0.04423457414451144,0.03709231181294089,-0.007142262331570552,0.08226799091111901,0.06990611271936871,-0.012361878191750303
37314880,Tier3_배송취약권(가정),0.0,0.046231248403489494,0.03150828563771719,-0.014722962765772306,0.060549074160928314,0.0731063014998436,0.012557227338915282
37415104,Tier3_배송취약권(가정),,0.2420371569600114,0.1856024415863678,-0.05643471537364361,0.2802169561245339,0.2454198469714427,-0.0347971091530912
37584000,Tier1_새벽배송가능권(가정),0.0,0.9357730613690861,0.9512750994291292,0.015502038060043133,0.9030644779584271,0.9300533138311046,0.02698883587267742
