,uplift_A_logit,uplift_A_rf,uplift_B_logit,uplift_B_rf,uplift_C_logit,uplift_C_rf,uplift_D_logit,uplift_D_rf
uplift_A_logit,1.0,0.183410797282803,0.7625133120340788,0.1783552865788537,0.6965658636596617,0.20232473665092626,0.5822179732313576,0.21646453509739066
uplift_A_rf,0.183410797282803,1.0,0.1770981507823613,0.5331171838814266,0.17002474372569812,0.5467289719626168,0.1775168979011028,0.5561824165491303
uplift_B_logit,0.7625133120340788,0.1770981507823613,1.0,0.18765697883028346,0.5951807228915663,0.20626822157434402,0.4704575744113727,0.22365988909426987
uplift_B_rf,0.1783552865788537,0.5331171838814266,0.18765697883028346,1.0,0.1521058127392969,0.5438432835820896,0.16713681241184766,0.5281625115420129
uplift_C_logit,0.6965658636596617,0.17002474372569812,0.5951807228915663,0.1521058127392969,1.0,0.1787749287749288,0.6225490196078431,0.1783552865788537
uplift_C_rf,0.20232473665092626,0.5467289719626168,0.20626822157434402,0.5438432835820896,0.1787749287749288,1.0,0.1932227829848594,0.6329551060680809
uplift_D_logit,0.5822179732313576,0.1775168979011028,0.4704575744113727,0.16713681241184766,0.6225490196078431,0.1932227829848594,1.0,0.19107592659229938
uplift_D_rf,0.21646453509739066,0.5561824165491303,0.22365988909426987,0.5281625115420129,0.1783552865788537,0.6329551060680809,0.19107592659229938,1.0
