antecedents,consequents,support,confidence,lift
과일,과일채소,0.013328028645315298,0.135,1.691288074580026
과일채소,과일,0.013328028645315298,0.1669743400406129,1.691288074580026
열매채소,과일채소,0.019664183777969337,0.1348524656426839,1.6894397553272886
과일채소,열매채소,0.019664183777969337,0.2463540705187373,1.6894397553272886
육가공,식사대용,0.010233627301460999,0.09665970772442588,1.6430213487449719
식사대용,육가공,0.010233627301460999,0.1739511584220413,1.6430213487449719
잎/줄기채소,쌈채소류,0.02288383470002726,0.10662913247965945,1.6073595648969012
쌈채소류,잎/줄기채소,0.02288383470002726,0.3449577965348734,1.6073595648969012
뿌리채소,양념채소,0.024173168593299883,0.22833878488412554,1.5654995672848147
양념채소,뿌리채소,0.024173168593299883,0.16573218164368336,1.5654995672848144
양념채소,"알, 잎/줄기채소",0.010793566592253683,0.07400111127948679,1.5332158193945142
과자,음료,0.03098085154977934,0.21315962893496224,1.5315199447204217
음료,과자,0.03098085154977934,0.22259276904345984,1.5315199447204217
식사대용,밀가공,0.010660949391802784,0.1812147777082029,1.4989396406579725
밀가공,식사대용,0.010660949391802784,0.08818331403498081,1.4989396406579725
쌈채소류,열매채소,0.014499480582631567,0.21856952465570856,1.4988997075583401
열매채소,쌈채소류,0.014499480582631567,0.0994341147938561,1.4988997075583401
식사대용,과자,0.012561795931598995,0.21352536005009393,1.4691328430191717
과자,식사대용,0.012561795931598995,0.08642976631013331,1.4691328430191715
잎/줄기채소,"두부/유부, 열매채소",0.012038694752042674,0.056095300216279315,1.458853995603636
열매채소,"두부/유부, 잎/줄기채소",0.012038694752042674,0.08255860953920777,1.4490621381284277
식사대용,음료,0.011802930840129965,0.20062617407639324,1.4414689524755055
음료,식사대용,0.011802930840129965,0.08480228680323963,1.4414689524755055
버섯,잎/줄기채소,0.026722365890856043,0.30747711088504576,1.4327151904739737
잎/줄기채소,버섯,0.026722365890856043,0.12451508805657592,1.4327151904739737
양념채소,"두부/유부, 잎/줄기채소",0.011869239440355414,0.08137596605546295,1.42830447390947
잎/줄기채소,"두부/유부, 양념채소",0.011869239440355414,0.05530570908716399,1.415803204204391
