회원번호,treatment_h4,uplift_A_logit,uplift_A_rf,uplift_B_logit,uplift_B_rf,uplift_C_logit,uplift_C_rf,uplift_D_logit,uplift_D_rf
18764160,0.0,-0.0067514596199156,-0.0352875184203562,-0.0010423302127836,-0.0174989897125645,-0.0356757886148308,-0.0406678854339157,-0.0450938514374837,-0.0338221620360376
18792000,0.0,0.0129609043273881,0.0495853553608855,-0.0096235626328789,0.0237111341499716,0.0270581438556069,0.0365925951779466,0.0230291438867413,0.0377455176924641
18942336,0.0,0.0111402774779924,0.0473813242508233,0.017740247416097,0.0231604951272184,-0.0326605866123613,0.0310124733369074,-0.0150156096229733,0.0627238092088779
18949760,,-0.0056728670448949,0.0403068888371065,-0.0028145271429093,0.0271374604496794,-0.005837924557418,0.0400805660812764,-0.0133815042925178,0.0467359781122305
19391488,0.0,-0.008772854894498,0.0351324019533561,-0.0071703790751786,0.0436924830927439,-0.000233850545169,0.0343119667969495,0.0035030106393539,0.0328967514724593
19627200,0.0,0.0133588811843924,-0.0038633131765605,0.0145010411318834,0.0187825803802222,0.0082146289994795,0.0203101271233921,0.0049415991238188,0.0306930798144351
19727424,0.0,0.0539499963526693,0.0319939940629095,0.0598410378208579,0.0265454638739499,0.0384409176381347,0.0597529201805954,0.0599410084101127,0.0197052975142435
19996544,0.0,0.0106014892987197,0.0287671211527736,0.0148637726365848,0.0149290997752628,-0.0136235030358419,0.0218328740424316,-0.008525096892156,0.0330325209811707
20235968,,0.0031330408125699,-0.1125226415251866,0.0096147403683762,-0.0848385659996828,-0.0296509648583453,-0.1014416289945855,-0.0304066070019086,-0.1171575098287157
20258240,0.0,-0.01008161807373,0.0325901073765487,-0.0084673071532561,0.0220992062008088,-0.0036862375694269,0.0180448596324596,-0.0075548492024015,0.0170126707353693
20588608,0.0,0.0066977522715703,-0.0284587171819612,0.0073426698357434,-0.0267247209604977,0.0031512109449269,-0.011454007729818,0.0035019832040948,-0.0219571060912614
20636864,0.0,0.0219167905603706,0.0162131197108245,0.0242621162696602,0.0108419486420372,0.0206061259423184,0.0456996595179653,0.0174345460012897,0.0373065432531782
21134272,0.0,-0.0053830711570246,-0.0107251754717692,0.0001782733880304,0.0059810658853377,0.0055444966573598,-0.0096246777188985,0.0225021944745869,0.0068951312490649
21457216,0.0,-0.0048687643537427,0.0440399504354137,-0.0022898853731216,0.038510309804647,0.0009009683785705,0.0366882389565809,-0.0057922094843265,0.0385724162724769
21982464,,0.0038987499153244,-0.041719250631942,0.0067985220146615,-0.0653543053411805,-0.0013030753931968,-0.0601131853083878,-0.0114828610857186,-0.0423877713635156
22112384,0.0,-0.011991293910551,0.0118734054410646,-0.0102739454669772,0.0044021363898496,-0.009355223858572,-0.0031913997752138,-0.0110954019692023,-0.0102342096284827
22259008,,-0.0016625344198599,-0.0301624790804941,0.0044956867264853,-0.0127829163445786,-0.0001123529471578,-0.0086600679214456,-0.0151923612483369,-0.0236656733900937
22270144,0.0,0.0068737485240168,-0.0519377836814821,0.007138407771665,-0.0396549217049285,0.0048751550397231,-0.0368870846332451,0.0042534435751724,-0.0123585673456992
22990272,0.0,0.0168165086607691,-0.0153611318782375,0.0227948582366648,-0.024732433249994,0.0171394065489847,0.0193904719489541,0.0147413700881433,0.00668753336363
23437568,,0.0396715551179585,-0.00987505494695,0.0442891330265375,-0.0128854762372816,0.0381183411930152,-0.0073473998344651,0.0409192749788539,0.0035188452790352
23485824,0.0,-0.0340991401646659,-0.0011545159454962,-0.0298194683075358,0.0198490630788481,-0.0375522065001084,0.0097360777470907,-0.0514881309311133,0.0155234039572801
23573056,,-0.0065899478290451,0.0507379938309006,-0.0045743729878248,0.0480174082126482,0.0026828484916983,0.0448141046367486,0.0005864283617706,0.0451537591336502
24098304,1.0,-0.0059018767698711,0.0433256069139159,-0.0034537043472514,0.0630016912513875,-0.0002116709162785,0.0531757625077864,-0.0029082703775347,0.0611195808924135
24883392,0.0,0.0127342790374964,0.0071735209088542,0.0134987522071389,0.0154640424309235,0.0081754776752889,0.018213358908545,0.006120201719594,0.0262442898878227
25145088,0.0,-0.0184144164441095,0.0533949077223787,-0.0143536886349968,0.0182305328816071,-0.0236754386607409,0.0373895599795823,-0.0344343755580299,0.0020122848298823
26110208,0.0,-0.0070202350477816,0.0539845728855316,-0.004327508875185,0.0537125321039992,-0.0285666883671955,0.0461717010318216,-0.010044506018195,0.065378550389326
26355200,,0.0130390235119938,0.0032744673107976,0.014123737040065,-0.0018200540692584,0.0124378860769834,0.0188952305934932,0.0082894834906711,0.0167754456947224
26676288,0.0,0.0030518958084776,-0.0001449806909025,0.0083360617768829,0.0083561271988516,0.0097879234899474,0.0207152890962336,0.0039605565320329,-0.0053443630795412
27021504,0.0,-0.0103556864636156,0.037047664447921,-0.0088944948434093,0.0421238498343338,-0.0274935483382107,0.0251022045488698,-0.0050753853800648,0.0181251919252019
27066048,0.0,0.0264701260858549,0.0283536920724563,0.0317093165698069,0.0394652831390989,0.0183391064577728,0.0318098461523879,0.0072876793344739,0.0262688539243776
27210816,0.0,-0.0058098909980888,0.0469415429241569,-0.0032461664001718,0.0357932546031732,-0.0015505553741035,0.0322932952262996,-0.0044170167179536,0.0464719001827687
27387136,0.0,0.0152123263371639,-0.087502974959139,0.0212175000892382,-0.0699848396418916,0.0203582360918193,-0.0401734512812378,0.040118442977541,-0.0506217524267472
28394944,1.0,0.0316711864076034,0.0409637924099596,0.0334879363650697,0.0517678208631459,0.0267129551586201,0.0525936645468996,0.0356193434860021,0.0602384757537
28871936,0.0,0.0080410244242445,-0.0500277148200936,0.0145214278795027,-0.0110880304149215,0.0238031515229732,-0.0215053920938052,0.0151050701696073,-0.0033167982168607
29658880,0.0,-0.0133064301906072,0.034477188506318,-0.0116748587621038,0.0176136389229238,-0.0122386311808021,0.0012586268293094,-0.0091325880180359,0.0115091128439293
29868608,0.0,-0.0154316790905064,-0.0220464236544134,-0.0105917203277523,0.0253881989103975,-0.0303618512566753,-0.012223540416825,-0.0280090585936932,-0.0071419132153547
30215680,,0.0168612329870841,-0.023501805101229,0.0215761270768135,-0.0420657651414707,0.0086487881522193,-0.0216367582474616,0.0094826411121792,-0.0195672395848827
31691200,0.0,0.0243001526833837,0.0087839663921542,0.0264519833148352,0.0244064538583692,0.0254069481077534,0.0285753771699638,0.033178207877364,0.0204780518981871
37188672,0.0,0.0219076733925424,0.0704004001172279,0.0261244399899641,0.06936874046179,0.0089821159518356,0.0526899656687201,-0.0038582260408024,0.0776291216302065
37253632,0.0,-0.0128422042021139,0.0331033663509043,-0.0114057498880633,0.0066204480967916,-0.0099451715179447,0.0036592831719851,-0.0071422623315705,-0.0123618781917503
37314880,0.0,-0.0133223684113689,0.0400926968054583,-0.0118651055315802,0.0231552502481897,-0.0112798683354202,0.0078364114015027,-0.0147229627657723,0.0125572273389152
37415104,,-0.0205630507904532,-0.0353095193625359,-0.0153496405986353,-0.0336808760463246,-0.0577823792262028,-0.0697860911287726,-0.0564347153736436,-0.0347971091530912
37584000,0.0,0.0182691175203622,-0.0029312386110936,0.0193440781045096,0.0076770418295192,0.0145544112534451,0.0083807477037249,0.0155020380600431,0.0269888358726774
38270720,0.0,-0.0162388574697951,0.032112865194149,-0.0132866686492988,0.0202106431771803,-0.0360851264620065,0.0447153831498729,-0.0092164755038505,0.0410230944938387
38588096,1.0,0.0096893422419177,0.0009435283609037,0.0102299060075954,0.0028352682347686,0.0054338524632512,0.0155945955216711,0.0061320563376308,0.0157778623705969
38593664,,-0.0138821079264193,0.0308415969042969,-0.0123659644790124,0.0128360054992646,-0.013041997103539,0.0005401222988151,-0.0166518449709286,-8.30062825492306e-06
38808960,0.0,0.0121003265815905,0.0134409523354616,0.0153885613540156,0.0015922576144556,0.0013553667591915,-0.0046528372602768,0.0153315436616069,0.02140745204551
38842368,0.0,0.0373862876084496,0.0283625275127199,0.0414738455540438,0.0219920045308159,0.0422549316759079,0.0322921833817728,0.0296887324188491,0.0469905900708977
38859072,0.0,-0.0035333263923164,0.0301835450924854,0.0002899343129311,0.0218703830070273,0.0089469581237429,0.0080061306206463,0.0199411548249731,6.318819427661437e-05
38862784,0.0,0.0320896417829388,0.0681752354264421,0.0357654348962346,0.0512983657888764,0.0250199409030825,0.0753403955948004,0.0455666675241293,0.062271130676783
