지표,값,비고
같은 파트 로지스틱↔RF 상관(평균),0.130,"⚠️B/C/D=Claude재현본. A/B/C/D 개별: A=0.080, B=0.050, C=0.189, D=0.200"
RF 계열 파트간 상관(평균),0.840,⚠️B/C/D=Claude재현본. A_rf/B_rf/C_rf/D_rf 6쌍 평균
"[참고용,과대추정] 4파트 만장일치 상위20% (RF 계열)",898명,⚠️B/C/D=Claude재현본이라 부풀려짐. 무작위 기대치 대비 67.8배
"[참고용,과대추정] 4파트 만장일치 상위20% (로지스틱 계열)",911명,⚠️B/C/D=Claude재현본이라 부풀려짐. 무작위 기대치 대비 68.8배
