회원번호,이탈위험군,가격구간,treatment_h4,uplift_logit,uplift_rf
18764160,Active(<30일),Q4_고가,0.0,-0.0067133240451459075,-0.03528751842035627
18792000,이탈위험(90일+),Q1_저가,0.0,0.012388479005911127,0.049585355360885514
18942336,Active(<30일),Q4_고가,0.0,0.011311100408895824,0.04738132425082331
18949760,Active(<30일),Q3,,-0.005569046754056714,0.040306888837106564
19391488,이탈위험(90일+),Q1_저가,0.0,-0.008835322089328537,0.03513240195335614
19627200,Active(<30일),Q4_고가,0.0,0.01329818278776873,-0.0038633131765605233
19727424,Active(<30일),Q4_고가,0.0,0.0542643390207288,0.03199399406290959
19996544,Active(<30일),Q4_고가,0.0,0.010580347348174701,0.02876712115277369
20235968,Active(<30일),Q3,,0.0032580471309039405,-0.11252264152518665
20258240,이탈위험(90일+),Q1_저가,0.0,-0.010111597064119703,0.03259010737654876
20588608,Active(<30일),Q4_고가,0.0,0.006629624896765329,-0.028458717181961246
20636864,Active(<30일),Q3,0.0,0.021818432982069647,0.01621311971082451
21134272,이탈위험(90일+),Q2,0.0,-0.005431415164514175,-0.010725175471769266
21457216,Active(<30일),Q1_저가,0.0,-0.004851152740318956,0.04403995043541373
21982464,Active(<30일),Q1_저가,,0.0036526551965978538,-0.04171925063194204
22112384,이탈위험(90일+),Q2,0.0,-0.011961945639459771,0.011873405441064633
22259008,관심필요(30~89일),Q3,,-0.0016616011058143143,-0.030162479080494187
22270144,Active(<30일),Q3,0.0,0.006838262286457675,-0.051937783681482164
22990272,Active(<30일),Q3,0.0,0.016694754580728888,-0.01536113187823751
23437568,Active(<30일),Q2,,0.03959181005446988,-0.009875054946950068
23485824,이탈위험(90일+),Q2,0.0,-0.0341138145621632,-0.001154515945496204
23573056,관심필요(30~89일),Q1_저가,,-0.006644287162934581,0.05073799383090066
24098304,관심필요(30~89일),Q1_저가,1.0,-0.00588912963453006,0.04332560691391599
24883392,Active(<30일),Q4_고가,0.0,0.012695495176796912,0.007173520908854258
25145088,이탈위험(90일+),Q4_고가,0.0,-0.01827185130722861,0.053394907722378704
26110208,Active(<30일),Q3,0.0,-0.006925558970976103,0.053984572885531684
26355200,Active(<30일),Q2,,0.012928376870879998,0.003274467310797613
26676288,관심필요(30~89일),Q3,0.0,0.003123688819463566,-0.0001449806909025464
27021504,이탈위험(90일+),Q1_저가,0.0,-0.010395479362516655,0.037047664447921055
27066048,Active(<30일),Q3,0.0,0.026420791050744574,0.028353692072456305
27210816,Active(<30일),Q1_저가,0.0,-0.0057737808053164585,0.04694154292415696
27387136,관심필요(30~89일),Q3,0.0,0.015115589069473412,-0.08750297495913906
28394944,Active(<30일),Q3,1.0,0.03164123397762186,0.04096379240995962
28871936,관심필요(30~89일),Q2,0.0,0.007948568571776726,-0.050027714820093605
29658880,이탈위험(90일+),Q3,0.0,-0.013255314345253531,0.03447718850631809
29868608,관심필요(30~89일),Q1_저가,0.0,-0.015461334865926796,-0.022046423654413477
30215680,Active(<30일),Q1_저가,,0.01652735337422606,-0.023501805101229012
31691200,Active(<30일),Q2,0.0,0.024188925044520193,0.008783966392154285
37188672,Active(<30일),Q4_고가,0.0,0.02191462649537701,0.07040040011722792
37253632,이탈위험(90일+),Q2,0.0,-0.012823325045198723,0.03310336635090437
37314880,이탈위험(90일+),Q3,0.0,-0.013289532474213876,0.04009269680545833
37415104,Active(<30일),Q4_고가,,-0.020346634855825496,-0.03530951936253596
37584000,Active(<30일),Q3,0.0,0.018196588094846478,-0.0029312386110936783
38270720,관심필요(30~89일),Q2,0.0,-0.01618642953195054,0.032112865194149076
38588096,Active(<30일),Q4_고가,1.0,0.00965112561886916,0.0009435283609037226
38593664,이탈위험(90일+),Q4_고가,,-0.013829373411590837,0.03084159690429699
38808960,Active(<30일),Q4_고가,0.0,0.01204518197413651,0.013440952335461609
38842368,Active(<30일),Q2,0.0,0.03727032510499617,0.02836252751271995
38859072,이탈위험(90일+),Q1_저가,0.0,-0.003565495388973966,0.03018354509248547
38862784,Active(<30일),Q3,0.0,0.032028713186987634,0.0681752354264421
38866496,관심필요(30~89일),Q1_저가,,-0.0076928192385204985,0.048653988052685046
38903616,이탈위험(90일+),Q3,0.0,-0.01218071332988424,0.13629284672524872
38918464,Active(<30일),Q3,1.0,0.013476508140440102,-0.004307140885412952
38933312,Active(<30일),Q3,0.0,0.03972806443911614,0.024386939524090656
38955584,Active(<30일),Q4_고가,0.0,0.05623127274286288,-0.01075378086748302
38959296,Active(<30일),Q2,0.0,0.004658843188125705,-0.048790854937455386
38968576,이탈위험(90일+),Q2,0.0,-0.007386684499274071,-0.03152123919471711
39053952,Active(<30일),Q4_고가,,0.05253812034235383,0.06751936095059985
39284096,이탈위험(90일+),Q3,0.0,-0.01218373208101084,0.03168094802568204
39287808,관심필요(30~89일),Q4_고가,0.0,-0.013140854338741084,0.042008330219822754
39376896,이탈위험(90일+),Q4_고가,0.0,-0.02169549662066103,0.029892130970146022
39382464,Active(<30일),Q4_고가,0.0,0.011307182683449435,0.007232935406307428
39547648,관심필요(30~89일),Q1_저가,,-0.009224372497231417,0.04273696613804018
39640448,Active(<30일),Q3,,0.010046815961229805,-0.012044367415371793
39653440,Active(<30일),Q2,0.0,0.025164027665416144,-0.010416885533032327
39820480,Active(<30일),Q2,1.0,0.032737092887176966,0.04119340647291947
39955968,관심필요(30~89일),Q3,0.0,0.0007932818423845855,0.062461803313806574
40124864,Active(<30일),Q4_고가,0.0,-0.0108811919727331,0.028689457603844365
40822720,이탈위험(90일+),Q2,0.0,-0.012534576167221957,0.03110709450918664
40898816,관심필요(30~89일),Q1_저가,0.0,-0.006121810544892636,0.05820988777574278
40969344,이탈위험(90일+),Q2,0.0,-0.012288670405008272,0.013227086119343742
41104832,Active(<30일),Q4_고가,0.0,0.014831988009939123,0.008200480330885718
41307136,Active(<30일),Q1_저가,0.0,0.002346174100751122,0.07562251330890424
41396224,이탈위험(90일+),Q1_저가,0.0,-0.01141303244658532,0.04039011319304593
41600384,Active(<30일),Q4_고가,0.0,0.018529988946558773,-0.017080550292063124
41739584,이탈위험(90일+),Q2,1.0,-0.018407279471584687,0.005512707491129337
41754432,Active(<30일),Q4_고가,1.0,0.014509598909900223,0.0018594270749365815
42058816,Active(<30일),Q4_고가,0.0,0.02666108970797476,0.06648891952477831
42097792,이탈위험(90일+),Q3,0.0,-0.00593432947165011,0.03542909706757992
42140480,Active(<30일),Q4_고가,0.0,0.014554643592048278,-0.010655796935861717
42307520,Active(<30일),Q2,0.0,0.032386476693982647,0.021230510463104646
42402176,Active(<30일),Q3,0.0,0.018212479276162985,0.0596251499891417
42474560,Active(<30일),Q3,,0.01418627831027408,-0.022561859508535842
42955264,Active(<30일),Q4_고가,0.0,0.027577197212800386,0.12490673976699729
43343168,Active(<30일),Q1_저가,1.0,0.03122669730347097,0.07317484773296928
