run,Y(대상),모델,평균 Uplift,95% CI,비고
run01b,재구매(Y binary),로지스틱(L1 자동선택),0.68%p,"[0.62, 0.73]",★ A파트 대표 모델
run06,매출(Y=14일 매출액),ElasticNet,-934원,"[-1157, -717]원","고가군(Q4) 음수 -5,400~5,800원 (두 모델 일치)"
run06,매출(Y=14일 매출액),RandomForest(GridSearchCV),-621원,"[-1258, 3]원","고가군(Q4) 음수 -5,400~5,800원 (두 모델 일치)"
run07,재구매(이탈위험군 슬라이스),로지스틱L1,0.67%p(전체평균),"[0.62, 0.73]",⚠️ 결론유보(모델간 방향 불일치)
run07,재구매(이탈위험군 슬라이스),RandomForest(GridSearchCV),1.55%p(전체평균),"[1.45, 1.64]",⚠️ 결론유보(모델간 방향 불일치)
run08b,재구매(Y binary),RandomForest(GridSearchCV 튜닝),1.55%p,"[1.45, 1.64]","가격구간 1위가 run01b와 다름(Q3→Q4), 튜닝해도 유지 -> 모델클래스 차이"
