회원번호,y_repurchase_14d,label_observable_flag,ever_cancelled,avg_leadtime
18764160,0,1,0,2.96875
18792000,0,1,0,2.0
18942336,0,1,1,2.656716417910448
19391488,0,1,0,2.0
19627200,1,1,1,2.282608695652174
19727424,1,1,1,2.210526315789474
19996544,0,1,1,2.0517241379310347
20235968,0,1,0,2.2777777777777777
20258240,0,1,0,1.0
20588608,1,1,1,2.075916230366492
20636864,1,1,1,2.456896551724138
21134272,0,1,0,2.6666666666666665
21982464,1,1,1,2.5245901639344264
22112384,0,1,0,2.0
22259008,0,1,1,2.576923076923077
22270144,1,1,1,2.426791277258567
22990272,1,1,1,1.7714285714285714
23437568,1,1,1,1.55
23485824,0,1,0,2.2857142857142856
23573056,0,1,0,3.0
24883392,1,1,1,2.1839080459770117
25145088,0,1,0,2.52
26355200,1,1,1,2.1616161616161618
26676288,0,1,1,2.3636363636363638
27021504,0,1,1,2.0
27066048,1,1,1,2.9838709677419355
27387136,1,1,1,2.742857142857143
28394944,1,1,1,2.5948275862068964
28871936,0,1,1,2.8823529411764706
29658880,0,1,0,2.25
29868608,1,1,0,3.75
30215680,1,1,1,2.5714285714285716
31691200,1,1,1,2.5961538461538463
37188672,1,1,1,2.4615384615384617
37253632,0,1,0,3.2
37314880,0,1,0,2.5
37415104,0,1,0,2.5
37584000,1,1,1,2.1925925925925926
38270720,0,1,0,3.2
38588096,1,1,1,2.253807106598985
38593664,0,1,0,2.6666666666666665
38808960,1,1,1,2.345029239766082
38842368,0,1,1,2.1020408163265305
38859072,0,1,0,2.5
38862784,1,1,1,2.88
38866496,0,1,1,3.5
38903616,0,1,1,2.5294117647058822
38918464,1,1,1,2.1508620689655173
38933312,0,1,0,1.8
38955584,1,1,0,1.6071428571428572
38959296,1,1,1,1.9643605870020964
38968576,0,1,1,1.5
39053952,1,1,1,1.5584415584415585
39284096,0,1,1,1.0
39287808,0,1,0,2.0
39376896,0,1,0,2.2
39382464,1,1,1,1.6266094420600858
39547648,0,1,0,1.0
39640448,1,1,1,1.3846153846153846
39653440,1,1,1,1.6119402985074627
39820480,1,1,1,2.103896103896104
39955968,0,1,0,2.0
40822720,0,1,0,3.0
40969344,0,1,0,3.0
41104832,1,1,1,1.911764705882353
41396224,0,1,1,1.0
41600384,0,1,1,1.986842105263158
41739584,0,1,1,1.3333333333333333
41754432,1,1,1,1.9096045197740112
42058816,1,1,1,2.108695652173913
42097792,0,1,0,1.6666666666666667
42140480,0,1,1,1.4871794871794872
42307520,1,1,1,2.1176470588235294
42402176,1,1,0,2.526315789473684
42474560,1,1,1,1.8802395209580838
42955264,1,1,1,2.090909090909091
43426688,1,1,1,2.37890625
43872128,1,1,1,1.6
43924096,0,1,0,1.5
44076288,0,1,0,1.565217391304348
44486464,1,1,1,1.4666666666666666
44620096,0,1,0,1.6
44666496,1,1,0,1.0
44844672,1,1,1,1.8636363636363635
45022848,1,1,1,2.0
45364352,1,1,1,1.6857142857142857
45520256,1,1,1,1.6923076923076923
45932288,1,1,1,1.950310559006211
46038080,0,1,0,1.7142857142857142
46056640,0,1,0,2.0
46348032,1,1,1,2.3448275862068964
46487232,0,1,1,1.9158878504672898
46568896,1,1,1,2.251700680272109
46752640,0,1,0,1.0
46995776,0,1,1,1.9444444444444444
47663936,0,1,0,1.0
48088960,0,1,0,1.0
48183616,0,1,0,1.0
48296832,1,1,1,1.8956521739130434
48398912,0,1,1,1.5333333333333334
48590080,0,1,0,1.0
48638336,1,1,1,1.606367583212735
48859200,0,1,0,1.6666666666666667
49035520,0,1,0,2.125
49083776,1,1,1,2.731958762886598
49178432,1,1,0,2.44
49742656,0,1,0,3.0
50290176,0,1,1,3.0
50776448,1,1,1,1.9192825112107623
50793152,1,1,1,2.0555555555555554
50798720,1,1,1,1.641025641025641
51142080,1,1,1,2.152173913043478
51182912,0,1,0,3.0
51184768,0,1,0,3.0
51203328,0,1,0,1.6666666666666667
51207040,0,1,0,3.25
51574528,1,1,0,2.6363636363636362
51897472,0,1,0,1.3333333333333333
51927168,0,1,0,3.0
52420864,1,1,0,2.35
52450560,0,1,1,2.0526315789473686
52480256,0,1,0,1.2
52515520,1,1,0,2.4444444444444446
52519232,1,1,1,1.6229508196721312
52534080,0,1,1,3.1666666666666665
52558208,1,1,1,2.264705882352941
52606464,0,1,1,2.4166666666666665
52767936,1,1,1,2.2720588235294117
52777216,0,1,0,2.0
52792064,1,1,1,2.0588235294117645
52821760,0,1,1,2.6144578313253013
52879296,1,1,0,2.888888888888889
52886720,0,1,0,2.16
52903424,1,1,1,2.234234234234234
52931264,1,1,1,2.45679012345679
52953536,1,1,1,2.021276595744681
53105728,1,1,1,2.4518950437317786
53157696,0,1,0,1.5
53165120,1,1,1,2.8076923076923075
53345152,0,1,1,2.382716049382716
53361856,0,1,1,1.9428571428571428
53365568,0,1,0,3.0
53367424,0,1,1,2.263157894736842
53372992,0,1,0,2.0
53382272,0,1,1,2.0357142857142856
53384128,0,1,1,1.9078947368421053
53432384,1,1,1,2.015228426395939
53465792,0,1,1,2.0476190476190474
53543744,1,1,1,2.0943396226415096
53766464,0,1,0,1.875
53844416,1,1,1,2.419047619047619
53848128,1,1,1,2.533333333333333
53874112,1,1,0,2.3823529411764706
53905664,0,1,1,2.0
53942784,0,1,1,2.1052631578947367
54067136,0,1,0,2.272727272727273
54078272,1,1,1,2.5217391304347827
54109824,0,1,1,1.8988095238095237
54119104,0,1,1,1.3333333333333333
54256448,0,1,1,1.6666666666666667
54416064,1,1,1,2.022222222222222
54603520,1,1,1,1.893939393939394
54605376,1,1,1,1.8181818181818181
54612800,0,1,0,2.0
54616512,1,1,1,2.1183431952662723
54623936,1,1,1,1.81875
54907904,0,1,0,1.6666666666666667
54911616,1,1,1,2.7435897435897436
54954304,0,1,0,1.2
55204864,1,1,1,3.0588235294117645
55455424,1,1,1,2.25
55535232,1,1,1,2.8125
55548224,0,1,0,2.4
55557504,1,1,0,2.0833333333333335
55835904,0,1,1,2.625
55947264,1,1,0,2.533333333333333
55988096,0,1,0,3.0
56470656,0,1,1,2.6666666666666665
56507776,1,1,0,3.0
56511488,0,1,0,2.0
56528192,0,1,1,3.0
56530048,1,1,1,2.909090909090909
56567168,1,1,0,1.759493670886076
56570880,1,1,1,2.8666666666666667
56576448,1,1,1,2.4788732394366195
56646976,1,1,1,2.35
56648832,0,1,1,2.3333333333333335
56674816,0,1,0,2.0
56747200,0,1,1,2.4150943396226414
57105408,0,1,0,2.6666666666666665
57209344,0,1,0,2.75
57250176,0,1,0,2.235294117647059
57272448,1,1,1,1.975
57331840,1,1,1,2.611764705882353
57359680,0,1,0,2.0
57471040,0,1,0,2.6
57727168,1,1,0,3.5
57797696,0,1,0,2.5
58037120,1,1,1,2.5353535353535355
58068672,0,1,1,2.735294117647059
58074240,1,1,1,2.292682926829268
58480704,1,1,1,2.25
58484416,1,1,1,1.7476851851851851
58491840,0,1,0,1.5
58545664,0,1,0,1.875
58560512,0,1,1,1.7052631578947368
58805504,0,1,0,2.5
59011520,1,1,1,1.9214659685863875
59046784,0,1,1,1.8571428571428572
59083904,0,1,0,1.0
59516352,1,1,1,1.565217391304348
59709376,0,1,0,2.6666666666666665
59727936,0,1,0,1.75
59755776,0,1,1,2.4444444444444446
59759488,1,1,1,1.9054054054054055
59774336,1,1,1,2.21483771251932
60210496,0,1,0,2.0
60275456,0,1,0,1.5
60277312,1,1,1,1.7377049180327868
60312576,1,1,1,2.123076923076923
60314432,1,1,1,1.6238805970149253
60654080,0,1,1,2.2
60802560,0,1,0,4.0
60912064,0,1,1,1.8727272727272728
60926912,0,1,0,2.125
60956608,0,1,0,2.5
61197888,0,1,1,2.154639175257732
61201600,0,1,0,2.4
61203456,1,1,1,1.36
61216448,0,1,1,1.5
61220160,0,1,0,1.0
61223872,1,1,1,2.0289017341040463
61424320,0,1,0,1.7916666666666667
61426176,1,1,1,2.1176470588235294
61441024,0,1,1,1.0
61442880,1,1,0,2.0
61452160,1,1,0,1.0
61541248,0,1,0,2.0
61548672,1,1,1,1.9195402298850575
61652608,1,1,0,1.9444444444444444
61713856,0,1,0,1.2
61750976,1,1,1,1.9653579676674364
61763968,1,1,1,2.703125
61867904,1,1,1,2.275
62012672,0,1,0,2.1707317073170733
62261376,1,1,1,2.0483091787439616
62326336,0,1,0,2.84
62341184,1,1,1,1.975609756097561
62343040,1,1,1,2.46
62361600,0,1,0,3.0
62426560,0,1,0,2.0
