회원번호,preperiod_제철구매비율,treatment_h4,p_control_logit,p_treated_logit,uplift_logit,p_control_rf,p_treated_rf,uplift_rf
18764160,0.0277777777777777,0.0,0.6351326161546147,0.5994568275397838,-0.035675788614830894,0.6098082948142359,0.5691404093803202,-0.04066788543391575
18792000,0.0,0.0,0.035235200588284145,0.06229334444389106,0.02705814385560692,0.06734367534088116,0.10393627051882777,0.03659259517794661
18942336,0.1971830985915492,0.0,0.5479892459076291,0.5153286592952677,-0.032660586612361375,0.5536679801241161,0.5846804534610236,0.031012473336907487
18949760,0.0,,0.08578658456174548,0.07994866000432745,-0.005837924557418037,0.14618846603449015,0.18626903211576662,0.04008056608127647
19391488,0.0,0.0,0.04274591893504802,0.04251206838987892,-0.0002338505451690981,0.06469352673663596,0.0990054935335855,0.03431196679694953
19627200,0.0822784810126582,0.0,0.9373934569515918,0.9456080859510714,0.008214628999479556,0.9160529185001879,0.9363630456235801,0.020310127123392197
19727424,0.037037037037037,0.0,0.6435499011573785,0.6819908187955133,0.03844091763813473,0.6412029663657721,0.7009558865463675,0.059752920180595415
19996544,0.1292134831460674,0.0,0.7684620338475374,0.7548385308116955,-0.013623503035841922,0.6921732893761771,0.7140061634186087,0.021832874042431616
20235968,0.088235294117647,,0.5217851729506074,0.4921342080922621,-0.02965096485834534,0.5287985817365586,0.427356952741973,-0.10144162899458559
20258240,0.0,0.0,0.0450468135367305,0.04136057596730358,-0.0036862375694269173,0.07837678823797967,0.09642164787043928,0.01804485963245961
20588608,0.106430155210643,0.0,0.9636313081618539,0.9667825191067809,0.0031512109449269854,0.9285349592906248,0.9170809515608067,-0.011454007729818083
20636864,0.0300751879699248,0.0,0.8665260330369022,0.8871321589792207,0.020606125942318476,0.879107193640356,0.9248068531583215,0.045699659517965396
21134272,0.0,0.0,0.23393549409352765,0.2394799907508875,0.005544496657359843,0.2411807877911037,0.23155611007220517,-0.009624677718898522
21457216,0.0,0.0,0.07260564495162089,0.07350661333019146,0.0009009683785705658,0.11692534539719741,0.15361358435377834,0.036688238956580924
21982464,0.0769230769230769,,0.831404124847451,0.8301010494542541,-0.0013030753931968508,0.7342968461172031,0.6741836608088153,-0.06011318530838783
22112384,0.0,0.0,0.051390936381856905,0.04203571252328481,-0.009355223858572098,0.08474042731436357,0.08154902753914975,-0.0031913997752138212
22259008,0.0384615384615384,,0.29578792323050684,0.295675570283349,-0.00011235294715783439,0.3386438225249859,0.32998375460354024,-0.008660067921445691
22270144,0.1082474226804123,0.0,0.9827527815313815,0.9876279365711046,0.004875155039723134,0.9453441918758669,0.9084571072426217,-0.03688708463324519
22990272,0.0555555555555555,0.0,0.5870041166076535,0.6041435231566382,0.017139406548984715,0.6007567724461704,0.6201472443951246,0.019390471948954158
23437568,0.1,,0.7180543864585548,0.7561727276515701,0.03811834119301527,0.7638187555900886,0.7564713557556234,-0.007347399834465196
23485824,0.0,0.0,0.18923681039062937,0.15168460389052088,-0.03755220650010849,0.1769970094589172,0.1867330872060079,0.009736077747090705
23573056,0.0,,0.05357432524712002,0.05625717373881835,0.0026828484916983295,0.08511071795489354,0.1299248225916422,0.04481410463674866
24098304,0.0,1.0,0.06891004352750153,0.06869837261122302,-0.00021167091627850854,0.09678384287758923,0.14995960538537573,0.053175762507786495
24883392,0.0896226415094339,0.0,0.9570097045581039,0.9651851822333928,0.008175477675288922,0.9114555692920407,0.9296689282005858,0.01821335890854503
25145088,0.0,0.0,0.15227173150506473,0.1285962928443238,-0.023675438660740927,0.22919901959673614,0.2665885795763185,0.03738955997958235
26110208,0.5,0.0,0.09567127354770531,0.06710458518050973,-0.028566688367195586,0.15021968233937633,0.19639138337119796,0.04617170103182164
26355200,0.0502283105022831,,0.9354396286964903,0.9478775147734738,0.012437886076983484,0.9121885344704119,0.9310837650639052,0.018895230593493295
26676288,0.0,0.0,0.19708308949594974,0.2068710129858972,0.009787923489947448,0.22821343826146948,0.24892872735770308,0.020715289096233602
27021504,1.0,0.0,0.05777002481127406,0.030276476473063318,-0.02749354833821074,0.09511312129727724,0.12021532584614704,0.0251022045488698
27066048,0.0869565217391304,0.0,0.676086814298309,0.6944259207560818,0.018339106457772814,0.7216993609130659,0.7535092070654538,0.03180984615238791
27210816,0.0,0.0,0.07345167578531939,0.07190112041121588,-0.0015505553741035072,0.12025495444369712,0.15254824966999675,0.03229329522629963
27387136,0.0,0.0,0.582529991943346,0.6028882280351653,0.020358236091819304,0.5617525708160014,0.5215791195347635,-0.04017345128123784
28394944,0.0887096774193548,1.0,0.8962530843988132,0.9229660395574334,0.026712955158620155,0.8683374175358464,0.920931082082746,0.05259366454689962
28871936,0.0,0.0,0.3376411157512996,0.3614442672742729,0.023803151522973298,0.3105582739604367,0.2890528818666315,-0.021505392093805253
29658880,0.0,0.0,0.050605992983470065,0.03836736180266795,-0.012238631180802116,0.06995902642239776,0.07121765325170717,0.0012586268293094116
29868608,0.2,0.0,0.2123579949472389,0.18199614369056358,-0.030361851256675315,0.2245889841431199,0.21236544372629487,-0.012223540416825024
30215680,0.2,,0.6944520084601142,0.7031007966123336,0.008648788152219367,0.5242548320172968,0.5026180737698351,-0.021636758247461696
31691200,0.025,0.0,0.8740582324069475,0.8994651805147009,0.025406948107753458,0.8525849019274196,0.8811602790973835,0.028575377169963834
37188672,0.0555555555555555,0.0,0.7634608306229386,0.7724429465747742,0.008982115951835623,0.8450319729031054,0.8977219385718256,0.052689965668720196
37253632,0.0,0.0,0.04359494946636332,0.03364977794841857,-0.009945171517944745,0.07460525432013716,0.07826453749212231,0.0036592831719851476
37314880,0.0,0.0,0.045000188995804435,0.03372032066038415,-0.011279868335420287,0.06347054262814891,0.07130695402965169,0.007836411401502777
37415104,0.1875,,0.24883254293524262,0.19105016370903982,-0.0577823792262028,0.285634717822936,0.21584862669416335,-0.06978609112877263
37584000,0.1117647058823529,0.0,0.9373362452099573,0.9518906564634024,0.014554411253445143,0.9068978576996622,0.9152786054033872,0.008380747703724989
38270720,0.4,0.0,0.11491369903164422,0.07882857256963767,-0.03608512646200655,0.11653940045096248,0.16125478360083545,0.04471538314987297
38588096,0.1311111111111111,1.0,0.9692327287241563,0.9746665811874076,0.005433852463251232,0.9141810783704308,0.929775673892102,0.015594595521671195
38593664,0.0,,0.04776392976976847,0.0347219326662294,-0.013041997103539066,0.06922422919537928,0.06976435149419447,0.0005401222988151849
38808960,0.0364583333333333,0.0,0.8226576977955008,0.8240130645546924,0.0013553667591915675,0.7956390474087762,0.7909862101484993,-0.004652837260276876
38842368,0.0508474576271186,0.0,0.7501809177760117,0.7924358494519197,0.04225493167590799,0.7834361006156196,0.8157282839973925,0.032292183381772865
